term,base,n_rows,volumes,pages,n_senses_for_base,terms_sharing_base,glosses,section,ref_source,qa_flags,risk
de ',de,1,B,,0,de|de '|de³,[ location ],D,v1,,collision
de,de,8,A|B,292|426|429,0,de|de '|de³,<ni oite/okeru> ;; <ni shite '> ;; <ni yotte/yori> ;; <te> ;; [ instrument ] ;; [ time ],D,v1|v2|v3,missing_ref,collision;missing_only
de³,de,1,B,,0,de|de '|de³,[ te - form of desu ],D,v1,,collision
de ageru,de ageru,1,B,,0,,<ageru>,D,v1,,
de are,de are,1,A,67,0,,,D,v1,,
~de are- de are,~de are- de are,1,A,70,0,,,D,v1,,
de are de are,de are de are,1,A,643,0,,<~to iwazu~to iwazu>,D,v1,,
(no) de areba,(no) de areba,1,A,615,0,,<to atte wa>,D,v1,,
de arō,de arō,1,I,,0,,,D,v1,,
de arō ga/to,de arō ga/to,1,A,67,0,,<de are>,D,v1,,
~2 de arō ga/to de arō ga/to,de arō ga/to de arō ga/to,1,A,643,0,,<to iwazu~to iwazu>,D,v1,,collision
~de arō to~de arō to,~de arō to~de arō to,1,A,70,0,,<~de are -de are>,D,v1,,
de aru,de aru,3,A|B,622,0,,<aru> ;; <to demo iu beki>,D,v1,missing_ref,missing_only
de atte mo,de atte mo,1,A,67,0,,<de are>,D,v1,,
de hoshii,de hoshii,1,B,,0,,<hoshii ?>,D,v1,,
de iru,de iru,1,B,,0,,<iru>,D,v1,,
de itadaku,de itadaku,1,B,,0,,<morau²>,D,v1,,
de kudasai,de kudasai,1,B,,0,,<kudasai>,D,v1,,
de kudasaru,de kudasaru,1,B,,0,,<kureru>,D,v1,,
de kureru,de kureru,1,B,,0,,<kureru>,D,v1,,
de miru,de miru,1,B,,0,,<miru>,D,v1,,
de mo,de mo,2,A|B,67,1,,"<de are> ;; <te mo> "" even if """,D,v1,,
demo,demo,6,A|B,423|624|63,1,,""" even "" ;; <daga> ;; <datte '> ;; <g> ;; <ni shita tokoro de> ;; <to ie domo>",D,v1,missing_ref,missing_only
~de mo~de mode are de are>,~de mo~de mode are de are>,1,A,70,0,,,D,v1,unbalanced,garble
~demo demo,~demo demo,1,A,76,0,,[ Wh - word ],D,v1,,
de mo ii,de mo ii,1,B,,0,,<te mo ii>,D,v1,,
de mo/ja aru mai shi,de mo/ja aru mai shi,1,A,74,0,,,D,v1,,
de moraitai,de moraitai,1,B,,0,,<hoshii²>,D,v1,,
de morau,de morau,1,B,,0,,<morau²>,D,v1,,
de nai to,de nai to,1,A,350,0,,<nara de wa (no)>,D,v1,,
de nakattara,de nakattara,1,A,350,0,,<nara de wa (no)>,D,v1,,
de nakereba,de nakereba,1,A,350,0,,<nara de wa (no)>,D,v1,,
de nakute wa,de nakute wa,1,A,350,0,,<nara de wa (no)>,D,v1,,
de oku,de oku,1,B,,0,,<oku>,D,v1,,
de sae,de sae,1,A,432,0,,<ni shite kara ga>,D,v1,,
de sashiageru,de sashiageru,1,B,,0,,<ageru>,D,v1,,
de shikata ga nai,de shikata ga nai,1,B,,0,,<tamaranai>,D,v1,,
de shimau,de shimau,1,B,,0,,<shimau>,D,v1,,
deshō,deshō,2,B|I,,0,,<-yō²> ;; <darō>,D,v1,,
desu,desu,1,B,,0,,<wa~da>,D,v1,,
(so) desu ga,(so) desu ga,1,I,,0,,<sō ka to itte>,D,v1,,
de sura,de sura,1,A,432,0,,<ni shite kara ga>,D,v1,,
de tamaranai,de tamaranai,1,B,,0,,<tamaranai>,D,v1,,
de wa,de wa,1,A,391,0,,<ni kakete wa>,D,v1,,
de wa ikenai,de wa ikenai,1,B,,0,,<wa ikenai>,D,v1,,
de wa naranai,de wa naranai,1,B,,0,,<wa ikenai>,D,v1,,
de yaru,de yaru,1,B,,0,,<ageru>,D,v1,,
dō,dō,1,B,,0,,,D,v1,,
dochira ka to ieba,dochira ka to ieba,1,A,78,0,,<dochira ka to iu to>,D,v1,,
dochira ka to iu to,dochira ka to iu to,1,A,78,0,,,D,v1,,
dō iu wake (da) ka,dō iu wake (da) ka,1,A,370,0,,<naze ka>,D,v1,,
dō ka,dō ka,1,A,82,0,,,D,v1,,
dō ka suru to,dō ka suru to,1,A,651,0,,<to mo suru to>,D,v1,,
doko made mo,doko made mo,1,A,11,0,,<akumade mo>,D,v1,,
dokoro de wa nai,dokoro de wa nai,1,A,85,0,,,D,v1,,
dokoroka,dokoroka,5,A|I,245|85,0,,<dokoro de wa nai> ;; <mashite (ya)> ;; <sore dokoroka> ;; <~bakari ka 2 (sae)>,D,v1,missing_ref,missing_only
dokoro no hanashi de wa nai,dokoro no hanashi de wa nai,1,A,85,0,,<dokoro de wa nai>,D,v1,,
domo,domo,3,A|B,88,0,,<-tachi>,D,v1|v2,duplicate,
dō ni ka,dō ni ka,1,A,341,0,,<nan to ka>,D,v1,,
dō ni mo~nai,dō ni mo~nai,1,A,92,0,,,D,v1,,
dō ni mo kō ni mo~nai,dō ni mo kō ni mo~nai,1,A,92,0,,<dō ni mo~nai>,D,v1,,
donna,donna,1,A,132,0,,<ikanaru>,D,v1,,
donnani,donnani,2,A,135|138,0,,<ikani> ;; <ikura>,D,v1,,
donnani~(koto) ka,donnani~(koto) ka,1,I,,0,,,D,v1,,
dono yōna,dono yōna,1,A,132,0,,<ikanaru>,D,v1,,
dorehodo (koto) ka,dorehodo (koto) ka,1,I,,0,,<donnani~(koto) ka>,D,v1,,
dōse,dōse,1,I,,0,,,D,v3,,
dōshi,dōshi,1,A,94,0,,,D,v1,,
dōshite (da) ka,dōshite (da) ka,1,A,370,0,,<naze ka>,D,v1,,
dōzo,dōzo,1,A,82,0,,<dō ka>,D,v1,,
e,e,1,B,,0,,[ direction ],E,v1,short_term,garble
eru,eru,1,B,,0,,<rareru²>,E,v1,,
fū ni,fū ni,1,I,,0,,,F,v1,,
fu no,fu no,1,I,,0,,<-ppoi>,F,v1,,
futsu no,futsu no,1,I,,0,,<tada no>,F,v1,,
ga ',ga,1,B,,1,ga|ga '|ga²,[ subject marker ],G,v1,,collision
ga²,ga,1,B,,1,ga|ga '|ga²,""" but """,G,v1,,collision
ga,ga,4,A|I,274,1,ga|ga '|ga²,<(no) kawari ni> ;; <daga> ;; <mono no> ;; <nagara (mo)>,G,v1|v3,,collision
gachi,gachi,2,A|I,214,0,,<kirai ga aru>,G,v1,,
ga hayai ka,ga hayai ka,2,A,706|99,0,,<ya ina ya>,G,v1,,
-ga (i) -nakereba,-ga (i) -nakereba,1,I,,0,,<nashi de wa>,G,v1,,
~ga~nara,~ga~nara,1,A,101,0,,,G,v1,,
garu,garu,1,B,,0,,,G,v1,,
gata,gata,1,B,,0,,<-tachi>,G,v1,,
gatai,gatai,2,I,,0,,<-kaneru>,G,v1|v3,,
gimi,gimi,1,I,,0,,<-gachi>,G,v3,,
goro,goro,1,B,,0,,,G,v1,,
goto ni,goto ni,2,A|B,582,0,,<tan'i de>,G,v1,,
gotoshi,gotoshi,1,A,103,0,,,G,v1,,
gurai,gurai,1,B,,0,,<kurai>,G,v1,,
gyaku ni,gyaku ni,1,I,,0,,,G,v3,,
hajimeru,hajimeru,1,B,,0,,,H,v1,,
hanmen,hanmen,2,A,107|149,0,,<ippō (de)>,H,v1,,
hatashite,hatashite,1,A,111,0,,,H,v1,,
hazu,hazu,2,B,,0,,<bekida>,H,v1|v3,,
hazu ga nai,hazu ga nai,1,I,,0,,<wake ga nai>,H,v1,,
hazu wa nai,hazu wa nai,1,I,,0,,<koto wa nai>,H,v1,,
hetani,hetani,1,A,318,0,,<namaji (kka)>,H,v1,,
hiite wa,hiite wa,1,A,114,0,,,H,v1,,
hijōni,hijōni,2,A|I,226,0,,<kono ue nai> ;; <nakanaka>,H,v1,,
hikikae>> ni hikikae,hikikae>> ni hikikae,1,,,0,,,H,,missing_ref;unbalanced,garble
hito/ichi tari to mo~nai,hito/ichi tari to mo~nai,1,A,117,0,,[ Counter ] <hito/ichi [ Counter ] to shite nai>,H,v1,,
hito/ichi to shite nai,hito/ichi to shite nai,1,A,117,0,,[ Counter ],H,v1,,
hito/ichi 2 nai,hito/ichi 2 nai,1,A,117,0,,[ Wh - word ] [ Counter ] <hito/ichi [ Counter ] to shite nai>,H,v1,,
hitotsu,hitotsu,1,A,119,0,,,H,v1,,
hitotsu ni wa,hitotsu ni wa,1,A,122,0,,,H,v1,,
hitsuyo wa nai,hitsuyo wa nai,1,I,,0,,<made mo nai>,H,v1,,
"hodo B ,","hodo B ,",1,I,,0,,,H,v1,,
hodo hodo no mo nai,hodo hodo no mo nai,1,I,,0,,<kurai koto> <made mo nai>,H,v1,,
hō ga ii,hō ga ii,2,B|I,,0,,<bekida>,H,v1|v2,,
hō ga yor,hō ga yor,1,B,,0,,,H,v1,,
höhō,höhō,1,B,,0,,<-kata>,H,v3,,
hoka,hoka,1,I,,0,,<igai>,H,v3,,
(yori/no) hoka (ni) (wa)~nai,(yori/no) hoka (ni) (wa)~nai,1,A,734,0,,,H,v3,,
(o oite) hoka ni (wa)~2 nai,(o oite) hoka ni (wa)~2 nai,1,A,499,0,,,H,v3,,
hontō ni,hontō ni,2,A|I,678,0,,<(to i) ttara nai> ;; <ikanimo>,H,v1|v3,,
hoshii want s t,hoshii want s t,1,B,,0,,""" "" "" .. .B hoshii "" "" want s.o. to do s.t. """,H,v1,,
hotondo nai,hotondo nai,1,A,252,0,,<metta ni~nai>,H,v1,,
ichi to shite 2 nai,ichi to shite 2 nai,1,,,0,,[ Counter ],I,,missing_ref,missing_only
> hito/ichi to shite nai,> hito/ichi to shite nai,1,A,117,0,,[ Counter ],I,v3,unbalanced,garble
ichiban,ichiban,2,A|B,499,0,,<o oite hoka ni (wa)~nai>,I,v1,,
ichido,ichido,1,A,161,0,,<ittan>,I,v1,,
ichiō,ichiō,1,A,126,0,,,I,v1,,
ie domo> to ie domo,ie domo> to ie domo,1,I,,0,,,I,v1,unbalanced,garble
igai ni nai,igai ni nai,1,A,499,0,,<o oite hoka ni (wa) - nai>,I,v1,,
igai to,igai to,1,I,,0,,<kekko>,I,v1,,
igai wa,igai wa,1,A,685,0,,<wa betsu to shite>,I,v1,,
igo,igo,1,A,154,0,,<irai>,I,v1,,
ii,ii,1,I,,0,,<mashida>,I,v1,,
ijō (wa),ijō (wa),2,A,195|64,0,,<kara ni wa>,I,v1|v2,,
ikaga,ikaga,1,B,,0,,<dō>,I,v1,,
ikanaru,ikanaru,1,A,132,0,,,I,v1,,
ikan (da),ikan (da),1,A,128,0,,,I,v1,,
ikan de,ikan de,1,A,412,0,,<ni ōjite/ōjita>,I,v1,,
ikani,ikani,1,A,135,0,,,I,v3,,
ikani (koto) ka,ikani (koto) ka,1,,,0,,<donnani~(koto) ... ka 135>,I,,missing_ref,missing_only
ikanimo,ikanimo,3,A|I,254,0,,<miru kara ni> ;; <samo>,I,v1,,
ikō,ikō,1,A,534,0,,<irai>,I,v1,,
iku,iku,2,A|B,154,2,,""" go "" ;; "" go on -ing """,I,v1,,collision
ikura,ikura,1,B,,0,,,I,v1,,
ikura ima ni natte te mo <~te mo> 603 138,ikura ima ni natte te mo <~te mo> 603 138,1,A,141,0,,<imasara~te mo>,I,v1,merged_suspect,garble
imasara,imasara,1,A,141,0,,,I,v1,,
Imperative,Imperative,1,I,,0,,,I,v1,,
ippanni,ippanni,1,A,526,0,,<oyoso>,I,v1,,
ippo (da),ippo (da),1,A,146,0,,,I,v1,,
ippō (de),ippō (de),1,A,149,0,,,I,v1,,
ippō de (wa)~tahō de (wa)~,ippō de (wa)~tahō de (wa)~,1,I,,0,,,I,v1,,
irai,irai,2,A|I,154,0,,<-rai>,I,v1,,
iru¹,iru,1,B,,3,iru|iru²|iru³|iru¹,""" exist """,I,v1,,collision
iru²,iru,1,B,,3,iru|iru²|iru³|iru¹,""" be -ing """,I,v1,,collision
iru³,iru,1,B,,3,iru|iru²|iru³|iru¹,""" need """,I,v1,,collision
iru,iru,1,I,,3,iru|iru²|iru³|iru¹,<tsutsu>,I,v1,,collision
issai nai,issai nai,1,A,159,0,,,I,v1,,
isshoni,isshoni,1,A,94,0,,<-dōshi>,I,v1,,
issō,issō,3,A,344|348|540,0,,<nao> ;; <naosara> ;; <sara ni>,I,v1,,
itadaku,itadaku,1,B,,0,,<morau '>,I,v1,,
ite,ite,1,I,,0,,<ori>,I,v1,,
itsu (de) mo,itsu (de) mo,1,I,,0,,<tabi ni>,I,v1,,
itsumo wa~nai,itsumo wa~nai,1,I,,0,,<kanarazushimo>,I,v1,,
ittan,ittan,1,A,161,0,,,I,v1,,
itte mireba,itte mireba,1,A,164,0,,,I,v3,,
ju made mo nai,ju made mo nai,1,A,167,0,,,I,v1,,
(tatoete) iu naraba,(tatoete) iu naraba,1,A,164,0,,<itte mireba>,I,v1,,
iwaba,iwaba,2,A,164|170,0,,<itte mireba>,I,v1,,
iwan'ya,iwan'ya,1,A,245,0,,<mashite (ya)>,I,v1,,
iwayuru,iwayuru,1,A,172,0,,,I,v1,,
izen (to shite),izen (to shite),1,A,344,0,,<nao>,I,v1,,
jau,jau,1,B,,0,,<shimau>,J,v1,,
jibun ',jibun,1,B,,0,jibun|jibun ',[ empathy marker ],J,v1,,collision
jibun,jibun,1,B,,0,jibun|jibun ',[ contrast marker ],J,v1,,collision
jimau,jimau,1,B,,0,,<shimau>,J,v1,,
jishin,jishin,2,A,174|553,0,,<-jitai> ;; <sono mono>,J,v1,,
jitai,jitai,2,A,174|553,0,,<sono mono>,J,v1,,
jitsuni,jitsuni,1,A,226,0,,<kono ue nai>,J,v1,,
jō,jō,1,I,,0,,,J,v1,,
jō wa,jō wa,1,I,,0,,<no ue de wa>,J,v1,,
ka¹,ka,1,B,,1,ka|ka¹,""" or """,K,v1,,collision
ka,ka,6,A|B|I,223|285|307|715,1,ka|ka¹,<-kke> ;; <mata wa> ;; <moshikuwa> ;; <naishi (wa)> ;; <yara> ;; [ question marker ],K,v1|v3,,collision
ka de,ka de,1,I,,0,,<no moto de>,K,v1,,
ka (dō ka),ka (dō ka),1,B,,0,,,K,v1,,
ka dō ka,ka dō ka,1,A,182,0,,<ka ina ka>,K,v1,,
kaette,kaette,3,A|I,295,0,,<gyaku ni> ;; <mushiro>,K,v1,,
kagiri,kagiri,2,I,,2,,""" as long as "" ;; "" only until ; limited """,K,v1|v3,,collision
kagiri da,kagiri da,2,A,177|226,0,,<kono ue nai>,K,v1,,
kagiri (wa),kagiri (wa),1,I,,0,,<ijo (wa)>,K,v1,,
kai,kai,1,B,,0,,,K,v1,,
kai/gai,kai/gai,1,A,179,0,,,K,v1,,
ka ina ka,ka ina ka,1,A,182,0,,,K,v1,,
~ka~ka,~ka~ka,3,A|I,720,0,,<~nari~nari> ;; <~yarayara>,K,v1,,
~ka~ka dochiraka,~ka~ka dochiraka,1,I,,0,,<mata wa>,K,v1,,
kakete wa ni kakete wa,kakete wa ni kakete wa,1,,,0,,,K,,missing_ref,missing_only
kamoshirenai,kamoshirenai,1,A,509,0,,<osore ga aru>,K,v1,,
kan,kan,1,,,0,,<-rai>,K,,missing_ref,missing_only
kana,kana,2,A,185,0,,,K,v1,missing_ref,missing_only
kanā,kanā,1,B,,0,,<kashira>,K,v1,,
-ka nai ka,-ka nai ka,1,A,182,0,,<ka ina ka>,K,v1,,
kanarazu,kanarazu,1,A,750,0,,<zu ni wa okanai>,K,v1,,
kanarazushimo,kanarazushimo,1,I,,0,,,K,v1,,
kanarazushimo 2 nai,kanarazushimo 2 nai,1,A,14,0,,<anagachi~nai>,K,v1,,
kanari,kanari,1,I,,0,,<nakanaka>,K,v1,,
ka ne,ka ne,1,B,,0,,<ne>,K,v1,,
kaneru,kaneru,1,I,,0,,,K,v1,,
kangaeru ni,kangaeru ni,1,A,496,0,,<omou ni>,K,v1,,
ka no gotoku,ka no gotoku,1,A,187,0,,<ka no yōni>,K,v1,,
kanōsei ga aru,kanōsei ga aru,1,A,509,0,,<osore ga aru>,K,v1,,
ka no yōni,ka no yōni,2,A,103|187,0,,<gotoshi>,K,v1,,
kara ',kara,1,B,,3,kara|kara ',""" from """,K,v1,,collision
kara,kara,13,A|B|I,154|233|307|371|612|645|745,3,kara|kara ',""" after doing s.t . "" ;; "" because "" ;; <(no) kawari ni> ;; <irai> ;; <kara to itte> ;; <koto de> ;; <koto kara> ;; <naishi (wa)> ;; <naze nara (ba) kara da> ;; <to atte> ;; <toka de> ;; <tokoro kara> ;; <yue ni>",K,v1,missing_ref,collision;missing_only
kara made,kara made,1,I,,0,,<- kara - ni itaru made>,K,v1,,
kara- made,kara- made,1,I,,0,,<- kara - ni kakete>,K,v3,,
kara ni itaru made,kara ni itaru made,1,I,,0,,,K,v3,,
kara- ni kakete,kara- ni kakete,1,I,,0,,,K,v1,,
kara da,kara da,1,I,,0,,<koto ni yoru>,K,v3,,
kara itte,kara itte,2,A,190|199,0,,<kara shite>,K,v1,,
kara koso,kara koso,1,A,27,0,,<ba koso>,K,v1,,
kara mite,kara mite,1,A,199,0,,<kara shite>,K,v1,,
kara naru,kara naru,1,A,192,0,,,K,v1,,
kara ne,kara ne,1,B,,0,,<ne>,K,v1,,
kara ni wa,kara ni wa,2,A|I,195,0,,<ijō (wa)>,K,v1,,
kara shite,kara shite,2,A,199|432,0,,<ni shite kara ga>,K,v1,,
kara to itte,kara to itte,1,I,,0,,,K,v1,,
kari ni,kari ni,1,A,201,0,,,K,v1,,
karō,karō,1,I,,0,,,K,v2,,
karōjite,karōjite,1,I,,0,,<yatto>,K,v1,,
kashira,kashira,2,A|B,715,0,,<yara>,K,v1,,
kata,kata,2,B|I,,0,,<-yo '>,K,v1,,
kata o suru,kata o suru,1,I,,0,,,K,v1,,
katawara,katawara,1,A,149,0,,<ippō (de)>,K,v1,,
ka to itte,ka to itte,1,A,635,0,,<to itte>,K,v1,,
ka to iu to,ka to iu to,1,I,,0,,,K,v1,,
ka to omoeba,ka to omoeba,1,A,206,0,,<ka to omou to>,K,v1,,
ka to omottara,ka to omottara,1,A,206,0,,<ka to omou to>,K,v1,,
ka to omou to,ka to omou to,1,A,206,0,,,K,v1,,
katsu,katsu,1,A,209,0,,,K,v1,,
kawari ni,kawari ni,3,A|B,380,0,,<ni hikikae> ;; <ni kawatte>,K,v1,missing_ref,missing_only
(no) kawari ni,(no) kawari ni,1,I,,0,,,K,v1,,
kedo,kedo,1,I,,0,,<keredomo>,K,v1,,
keikō ga aru,keikō ga aru,1,A,214,0,,<kirai ga aru>,K,v1,,
kekka,kekka,2,A,7,0,,<ageku (ni)>,K,v1|v3,,
kekkō,kekkō,2,A|I,206,0,,<nakanaka>,K,v1|v2,,
kekkyoku,kekkyoku,2,B|I,,0,,<tsumari> ;; <yahari>,K,v1,,
keredo,keredo,1,B,,0,,<keredomo>,K,v1,,
keredo (mo),keredo (mo),6,A|I,116|199,0,,<(no) kawari ni> ;; <daga> ;; <nagara (mo)> ;; <ni mo kakawarazu> ;; <sō ka to itte> ;; <tokoro ga>,K,v1|v2,missing_ref,missing_only
keredomo,keredomo,3,A|B,274|635,0,,<mono no> ;; <to itte>,K,v1,,
kesshite,kesshite,1,B,,0,,<amari>,K,v1,,
kesshite nai,kesshite nai,1,A,658,0,,<totemo - nai>,K,v1,,
kikensei ga aru,kikensei ga aru,1,A,509,0,,<osore ga aru>,K,v1,,
kikeru,kikeru,1,B,,0,,<kikoeru>,K,v1,,
kikoeru,kikoeru,1,B,,0,,,K,v1,,
kimatte iruni kimatte iru,kimatte iruni kimatte iru,1,,,0,,,K,,missing_ref,missing_only
kinshi,kinshi,1,A,29,0,,<bekarazu/bekarazaru>,K,v1,,
kiraida,kiraida,1,B,,0,,,K,v1,,
kirai ga aru,kirai ga aru,1,A,214,0,,,K,v1,,
(k) kiri,(k) kiri,1,A,219,0,,,K,v1,,
kitto,kitto,1,A,547,0,,<sazo (kashi)>,K,v1,,
kiwamari nai,kiwamari nai,1,A,226,0,,<kono ue nai>,K,v1,,
kiwamete,kiwamete,1,A,226,0,,<kono ue nai>,K,v1,,
kke,kke,1,A,223,0,,,K,v1,,
kō itta,kō itta,1,A,130,0,,<kō shita>,K,v2,,
kō iu,kō iu,1,I,,0,,<kō shita>,K,v1,,
