term,slug,canonical,reading,meaning,senses,register,keigo,freq,jlpt,family,candidate_prereqs,fold_into_parent,confidence,review_reason,src_risk,src_volumes,src_glosses
iku,iku,〜ていく,ていく,(aspect) to go on doing; do and move away / forward in time,,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-form,,med,dropped lexical 'go' sense; kept aspectual 〜ていく,collision,A|B,""" go "" ;; "" go on -ing """
ikura ima ni natte te mo <~te mo> 603 138,ikura-temo,いくら〜ても,いくら〜ても,no matter how (much) ~; however ~ (concessive),,casual-spoken|polite-spoken|written-modern,none,common,N3,conditional,te-mo,,med,OCR-merged two entries (いくら〜ても + 今になって/今さら〜ても); kept いくら〜ても — second pattern needs its own node | recheck: JLPT N3 いくら〜ても confirms,garble,A,<imasara~te mo>
jibun,jibun,自分,じぶん,self; reflexive pronoun referring back to the subject,,casual-spoken|polite-spoken|written-modern,none,common,N3,other,,,med,[contrast marker] gloss looks mis-OCR'd; treated as reflexive 自分,collision,B,[ contrast marker ]
jibun ',jibun-2,自分,じぶん,自分 used as a personal 'I/me' (empathetic/colloquial first person),,casual-spoken,none,uncommon,N2,other,,,low,[empathy marker]; 自分 as first-person pronoun | recheck: no external grammar listing (自分=pronoun/lexical); borderline per CALIBRATION §2,collision,B,[ empathy marker ]
kagiri,kagiri,〜限り(は),かぎり,as long as ~; to the extent that ~; while ~,,casual-spoken|polite-spoken|written-modern,none,common,N2,conditional,,,med,split from multi-sense 'kagiri' (extent / 'as long as' sense),collision,I,""" as long as "" ;; "" only until ; limited """
kagiri,kagiri-2,〜限り / 〜を限りに,かぎり,only; limited to; the utmost/last ~,,polite-spoken|written-modern,none,uncommon,N2,adverbial,,,med,split from multi-sense 'kagiri' (limit / 'only until' sense),collision,I,""" as long as "" ;; "" only until ; limited """
kara,kara,〜から,から,because; since (reason/cause),,casual-spoken|polite-spoken|written-modern,none,essential,N5,connective,,,med,split: reason 'because' から; source 'from' = kara'; sequence 'after' = kara-2,collision;missing_only,A|B|I,""" after doing s.t . "" ;; "" because "" ;; <(no) kawari ni> ;; <irai> ;; <kara to itte> ;; <koto de> ;; <koto kara> ;; <naishi (wa)> ;; <naze nara (ba) kara da> ;; <to atte> ;; <toka de> ;; <tokoro kara> ;; <yue ni>"
kara ',kara-3,から,から,particle から marking a starting point: from (place/time),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,""" from """
koto ga aru ',koto-ga-aru,〜たことがある,たことがある,have (once) done ~ before; there was a time when ~ (past experience),,casual-spoken|polite-spoken|written-modern,none,common,N5,aspect,ta-form|aru,,high,,collision,B,""" there was a time when~"""
koto ga aru²,koto-ga-aru-2,〜ことがある,ことがある,there are times when ~; ~ sometimes happens,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,koto,,high,,collision,B,""" there are times when~"""
kuru²,kuru-2,〜てくる,てくる,(aspect) begin to ~; come to ~; do and move toward the speaker/now,,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-form,,high,,collision,B,""" begin to ; come to """
mo,mo,も,も,"particle も: also, too (adds to a set)",,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,addition も; 'even' sense is mo²,collision;missing_only,A|B|I,""" also "" ;; <datte '> ;; <ni shita tokoro de> ;; <sae>"
"morau receive receive a favor of doing s t "" B morau",morau,〜てもらう,てもらう,"to have someone do something for you (benefactive, receiver's viewpoint)",,casual-spoken|polite-spoken|written-modern,none,essential,N4,auxiliary,te-form,,med,OCR-merged morau/morau²; kept benefactive 〜てもらう (dropped lexical 'receive'),garble,,""" "" "" .. ......... B morau² "" <yaru>"
mo²,mo-2,も,も,particle も: even ~ (emphasis on an extreme/unexpected case),,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,,,high,,collision,B,""" even """
"nante things like "" 339 nante mon ja nai 465 nan te/to no/n da (ro)",nante,なんて,なんて,things like ~; such as ~ (often dismissive or surprised),,casual-spoken,none,common,N3,particle,,,med,"OCR-merged several なんて entries (なんて, 〜なんてもんじゃない, なんと); kept なんて 'things like' — others need own nodes | recheck: JLPT/Bunpro N3 なんて confirms dismissive listing; exclamatory なんて=nante-2",garble,A,""" "" <no nan no tte> <koto ka>"
ni,ni,に,に,"particle に (further uses): purpose with motion verbs, exhaustive listing/addition, result","[{""label"": ""purpose"", ""canonical"": ""〜に(行く)"", ""meaning"": ""in order to (with motion verbs)""}, {""label"": ""listing"", ""canonical"": ""〜に〜"", ""meaning"": ""and (exhaustive listing/addition)""}]",casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,med,"advanced/listing uses of に; direction/existence = ni', indirect-object = ni²",collision,B|I,"<ni oite/okeru> ;; <ni wa> ;; <ni yotte/yori> ;; <to '> "" and "" ;; [ direct contract ] ;; [ purpose ]"
ni ',ni-2,に,に,"particle に marking destination/direction and location of existence (に行く, にある/いる)",,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ direction ] ;; [ location (existence) ]
ni shite ',ni-shite,〜にして,にして,at (a stage/age); only after/in (a period of time),,polite-spoken|written-modern,none,uncommon,N1,adverbial,,,med,[period of time] sense of 〜にして,collision,A,[ period of time ]
"ni shite both~and "" 429 ni shite kara ga 432 ni shite mo",ni-shite-2,〜にして,にして,"both ~ and ~ (emphatic equating, formal)",,written-modern|literary,none,rare,N1,connective,,,low,"collision-resolved: external にして 'at age/condition' maps to node 'ni-shite' (sense 1), not this 'both~and' sense; kept distinct, OCR-merged source",garble,A,""" """
ni²,ni-3,に,に,particle に marking the indirect object (recipient): to / for someone,,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ indirect object marker ]
no,no,〜の,の,の pronoun: 'one' — stands in for a noun (赤いの = the red one),,casual-spoken|polite-spoken|written-modern,none,common,N4,nominalizer,,,med,split from 'no' multi-gloss (pronoun 'one' sense); nominalizer/possessive = no',collision,B,""" one (pronoun) "" ;; [ sentence - final particle ]"
no,no-2,〜の,の,sentence-final の: explanatory tone or soft question (casual),,casual-spoken,none,common,N5,particle,,,med,split from 'no' multi-gloss (sentence-final particle sense),collision,B,""" one (pronoun) "" ;; [ sentence - final particle ]"
no ',no-3,の,の,particle の: possessive/linking (A の B = B of A) and nominalizer (clause → noun),"[{""label"": ""possessive"", ""canonical"": ""〜の〜"", ""meaning"": ""possessive/linking: A の B = B of A""}, {""label"": ""nominalizer"", ""canonical"": ""〜の"", ""meaning"": ""nominalizes a clause (= こと)""}]",casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ nominalizer ] ;; [ possessive marker ]
noni,noni,〜のに,のに,"although ~; even though ~ (concessive, often with surprise/regret)",,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,,,high,concessive のに; 'in the process / purpose' sense is noni²,collision;missing_only,A|I,<daga> ;; <kuse ni> ;; <mono o> ;; <nagara (mo)> ;; <ni mo kakawarazu> ;; <ni wa> ;; <ni> ;; <to iu noni>
noni²,noni-2,〜のに,のに,for (the purpose of) doing ~; used in doing ~ (のに = の + に),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,no-3,,med,purpose/usage のに; distinct from concessive のに,collision,B,""" in the process of doing """
o ',o,を,を,particle を marking the direct object,,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ direct object marker ]
o²,o-2,を,を,"particle を marking the space/path traversed (公園を歩く, 空を飛ぶ)",,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,,,high,,collision,B,[ space marker ]
rareru,rareru,〜られる,られる,"honorific/spontaneous られる: respectful verb form, and spontaneous occurrence (思い出される)",,polite-spoken|written-modern,sonkeigo,uncommon,N3,honorific,rareru-3,,med,rareru(I) grouped with honorific お〜だ + spontaneous; the 4 られる uses split across rareru/rareru'/rareru² — verify honorific vs spontaneous | recheck: honorific/spontaneous られる standard (no ext grammar gloss; structural label only),collision,I,<o~da> ;; <uru/eru>
rareru ',rareru-2,〜られる,られる,passive られる: the subject is acted upon (also adversative passive),,casual-spoken|polite-spoken|written-modern,none,essential,N4,passive,,,high,,collision,B,[ passive ]
rareru²,rareru-3,〜られる,られる,potential られる: can / be able to (見られる = can see),,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,high,potential → family=modality (no 'potential' family; not passive),collision,B,""" can (potential) """
soko de ',soko-de,そこで,そこで,and so; therefore (conjunction introducing a consequent action),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,med,no gloss; そこで homograph pair — assigned 'and so/therefore' to '; verify vs soko de²,collision,I,
soko de²,soko-de-2,そこで,そこで,"at that point; thereupon (situational 'there, then')",,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,,,med,no gloss to disambiguate the そこで homograph pair — sense assignment between '/² is a guess | recheck: Bunpro N3 そこで (connective 'so/thereupon') confirms,collision,I,
suru,o-suru,お〜する / ご〜する,おする,humble お/ご + verb-stem + する: humbly do (for a superior),,polite-spoken|written-modern,kenjougo,common,N3,honorific,,,med,split from polysemous 'suru'; kept humble お〜する (kenjougo); dropped lexical do/play/have/cost,collision,A|B|I,""" cost ; lapse "" ;; "" do ; play "" ;; "" have "" ;; <nasu> ;; <o~suru (humble)> ;; <yaru '> ;; [ sensation ]"
suru,ga-suru,〜がする,がする,(sensation) 音/におい/味/感じ がする: a sound/smell/taste/feeling occurs,,casual-spoken|polite-spoken|written-modern,none,common,N4,other,ga-2,,med,split from polysemous 'suru'; kept がする sensation [sensation] gloss,collision,A|B|I,""" cost ; lapse "" ;; "" do ; play "" ;; "" have "" ;; <nasu> ;; <o~suru (humble)> ;; <yaru '> ;; [ sensation ]"
sōda²,souda-2,〜そうだ,そうだ,"looks like ~; seems ~ (appearance/conjecture, from verb-/adj-stem)",,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,high,appearance/conjecture そうだ (vs hearsay そうだ = sōda¹),collision,B,""" looks """
to ',to-2,と,と,particle と: 'and' (exhaustive listing of nouns); 'with' (accompaniment),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,""" and """
to mo naru to> ni/to mo naru to,to-mo-naru-to,〜ともなると / 〜となると,ともなると,when it comes to ~; once it's a matter of ~ (then naturally...),,polite-spoken|written-modern,none,uncommon,N1,conditional,to-2,,med,OCR fused 'to mo naru to> ni/to mo naru to'; standard 〜ともなると/となると,garble,,
to shite mo>,to-shite-mo,〜としても,としても,even if ~; even assuming ~,,casual-spoken|polite-spoken|written-modern,none,common,N2,conditional,to-shite,,med,OCR '>' stripped; 〜としても,garble,A,
"to suru s o assume s t feel~; look~"" (n) to surun to suru",to-suru,〜とする,とする,to assume/regard as ~; to take it that ~ (also 〜うとする 'try to'),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,to-2,,med,OCR-merged several とする (regard-as / volitional 〜うとする / sensation); kept 〜とする — others need own nodes | recheck: とする 'regard as' standard; 〜うとする 'try to' is a separate sense,garble,,""" "" "" .... I to suru """
to to to (wa wa wa) iu iu itte mono mono mo no no <to <ie>>> 664 664 288,to-wa-iu-mono-no,〜とはいうものの,とはいうものの,although; that said; even though (concessive),,polite-spoken|written-modern,none,uncommon,N2,connective,,,med,OCR severely garbled (tripled tokens); reconstructed 〜とはいうものの; possibly fused with といっても/とはいえ — verify | recheck: とはいうものの concessive reconstruction certain (ものの=N2),garble,A,<wa to mottomo wa ie>
"to with if ; when """,to-conditional,〜と,と,"conditional と: whenever/if X, (then the natural/automatic result)",,casual-spoken|polite-spoken|written-modern,none,essential,N4,conditional,,,med,split from garbled 'to with if;when [quote marker]'; conditional と,garble,B,""" "" "" .B to ' [ quote marker ] ... .B to * """
"to with if ; when """,to-quotative,〜と(言う/思う),と,"quotative と: marks a quote or thought (〜と言う, 〜と思う)",,casual-spoken|polite-spoken|written-modern,none,essential,N5,quotation,,,med,split from garbled row; quotative と [quote marker],garble,B,""" "" "" .B to ' [ quote marker ] ... .B to * """
tokoro da,tokoro-da,〜ところだ,ところだ,(aspect) at the point of: about to ~ / in the middle of ~ / just ~ed,,casual-spoken|polite-spoken|written-modern,none,common,N3,aspect,,,med,split from 'tokoro da'; kept aspectual 〜ところだ (dropped lexical 'place'),collision,B,""" moment "" ;; "" place """
tokoro o 312,tokoro-o,〜ところを,ところを,at a moment/situation when ~ (often despite: お忙しいところを),,polite-spoken|written-modern,none,uncommon,N2,connective,,,med,"stray page '312' in term; 〜ところを 'at the time/situation when, despite'",collision,B,<naka o>
"tte speaking of "" B -tte",tte,〜って,って,"casual って: quotative ('they say ~') and topic ('speaking of ~', = は/とは)","[{""label"": ""quotative"", ""canonical"": ""〜って"", ""meaning"": ""casual quote/hearsay: '~, they say'""}, {""label"": ""topic"", ""canonical"": ""〜って"", ""meaning"": ""casual topic: 'speaking of ~' (= は/とは)""}]",casual-spoken,none,common,N3,particle,,,med,OCR-garbled; casual って (quote/topic),garble,B,""" "" [ quote marker ]"
wa,wa,は,わ,は in contrastive/emphatic and advanced uses (grouped with たるや): distinguishing/limiting nuance,,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,wa-2,,med,"advanced/contrastive は (A|I); theme は = wa', feminine sentence-final は = wa² | recheck: core は=N5 (Bunpro); this node=advanced contrastive/emphatic は",collision,A|I,<rei no> ;; <taruya>
wa ',wa-2,は,わ,particle は marking the topic/theme (as for ~),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ theme ]
wa shikata ga nai to shite mo <wa ii,temo-shikata-ga-nai,〜ても仕方がない,てもしかたがない,there's no use ~ing; it can't be helped even if ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,modality,te-mo,,med,OCR-merged (〜ても仕方がない / としても / 〜てもいい); kept 〜ても仕方がない — others need own nodes | recheck: JLPT N3 ても仕方がない/てもしょうがない confirms 'no use',garble,,
wa²,wa-3,わ,わ,"sentence-final わ: soft emphasis, traditionally feminine speech",,casual-spoken,none,uncommon,N2,particle,,,high,,collision,B,[ female speech marker ]
ya,ya,や,や,particle や: 'and' (non-exhaustive listing — A や B など),,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,,,high,split from 'ya'; kept listing や (dropped lexical 屋 'store'),collision,A|B,""" and "" ;; "" store "" ;; <dano> ;; <katsu> ;; <ya ina ya>"
yaru,yaru,〜てやる / やる,てやる,(casual benefactive) do something for someone (inferior/intimate); casual 'give',,casual-spoken,none,common,N4,auxiliary,te-form|ageru,,med,やる grouped with あげる; benefactive 〜てやる (casual),collision,B,<ageru '> ;; <suru²>
yori,yori,〜より,より,より: 'than' (comparison); also formal 'from' (starting point),,casual-spoken|polite-spoken|written-modern,none,essential,N4,particle,,,high,,collision,A|B|I,""" than "" ;; <sara ni>"
yori²,yori-2,寄り,より,〜寄り: leaning toward / closer to (suffix of proximity or tendency),,casual-spoken|polite-spoken|written-modern,none,rare,none,other,,yori,low,"collision-resolved: external より match is the comparative particle (= node 'yori'); our 寄り is the lexical proximity suffix — distinct, stays lexical/drop-candidate",collision,B,""" side """
yō,you,〜よう(が/に),よう,〜よう: a way/means of doing (やりよう); 〜ようがない = no way to,,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,nominalizer,,,med,"collision-resolved: external N5 form-match is the volitional よう (= *volitional-form node), a different sense; our 〜よう way/means stays N2",collision,A|I,""" a way of doing s.t. "" ;; "" probably ; likely "" ;; <-muke>"
~2 bakari de (wa) naku~(mo),bakari-de-wa-naku-2,〜ばかりで(は)なく(も)、〜も,ばかりでなく,not only ~ but also ~ (full correlative 'A ばかりでなく B も'),,polite-spoken|written-modern,none,common,N3,connective,bakari-de-wa-naku,,med,homograph² (~2) of ばかりでなく with <うえに>; correlative framing — verify vs node 1 (may merge) | recheck: JLPT/Bunpro N3 ばかりでなく confirms (dup-suspect of bakari-de-naku),collision,I,<ue (ni)>
~2 ba~hodo yoi/ii,ba-hodo-yoi,〜ば〜ほどいい,ばほどいい,"the more ~, the better (best to ~ as much as possible)",,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,conditional,ba-conditional|*hodo,,med,'~2' variant; 〜ば〜ほどいい/良い; cf に越したことはない,collision,A,<ni koshita koto wa nai>
~2 dake de (wa) naku (mo),dake-de-wa-naku-2,〜だけで(は)なく(も)、〜も,だけでなく,not only ~ but also ~ (full correlative 'A だけでなく B も'),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,dake-de-wa-naku,,med,homograph² (~2) of だけでなく with <をはじめ>; correlative framing — verify vs node 1 (may merge) | recheck: JLPT N3 だけでなく confirms (dup-suspect of dake-de-naku),collision,I,<o hajime (to shite)>
~2 de arō ga/to de arō ga/to,de-arou-ga,〜であろうが / 〜であろうと,であろうが,whether it be ~ (or not); no matter ~ (formal concessive),,written-modern|literary,none,rare,N1,conditional,volitional-form,,med,'~2' variant; 〜であろうが/と (formal); cf 〜と言わず〜と言わず,collision,A,<to iwazu~to iwazu>
~2 toka toka,toka-toka,〜とか〜とか,とかとか,things like ~ and ~ (non-exhaustive listing of examples),,casual-spoken|polite-spoken,none,common,N4,particle,*toka,,med,'~2' variant; 〜とか〜とか listing examples,collision,A,<no no to>
~de mo~de mode are de are>,de-are-de-are,〜であれ〜であれ,であれであれ,"whether ~ or ~; be it ~ or ~ (formal, covers all cases)",,written-modern|literary,none,rare,N1,conditional,,,med,OCR garbled; reconstructed 〜であれ〜であれ 'whether...or' (formal),garble,A,
de³,de-3,で,で,"で = te-form of だ/です: 'being ~, and...' (学生で、22歳)",,casual-spoken|polite-spoken|written-modern,none,essential,N5,copula,,,high,,collision,B,[ te - form of desu ]
iru¹,iru-3,いる,いる,"to exist; to be (for animate things — people, animals)",,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,,,high,main verb いる 'exist (animate)',collision,B,""" exist """
iru³,iru-4,要る,いる,to need; to require (要る),,casual-spoken|polite-spoken|written-modern,none,common,N5,other,,,low,"homograph⁴; 要る 'need' is lexical — candidate to drop | recheck: no external (要る 'need' = vocab); lexical, drop candidate per §2",collision,B,""" need """
ka,ka,か,か,particle か: question marker; embedded question / uncertainty (〜かどうか),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,question/embedded-question か; 'or' alternative = ka¹,collision,A|B|I,<-kke> ;; <mata wa> ;; <moshikuwa> ;; <naishi (wa)> ;; <yara> ;; [ question marker ]
ka¹,ka-2,か,か,particle か: 'or' (listing alternatives — コーヒーか紅茶),,casual-spoken|polite-spoken|written-modern,none,common,N5,particle,,,high,,collision,B,""" or """
kureru,kureru-2,〜てくれる,てくれる,"(someone) does ~ for me / my in-group (benefactive, toward speaker)",,casual-spoken|polite-spoken|written-modern,none,essential,N4,auxiliary,kureru|te-form,,high,,collision,B|I,""" s.o. gives me a favor by doing s.t . "" ;; <yaru>"
kureru¹,kureru,くれる,くれる,(someone) gives to me / my in-group (giver's action toward speaker),,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,,,high,main verb くれる; てくれる = kureru-2,collision,B,""" s.o. gives s.t. to me """
kuru¹,kuru,来る,くる,to come (来る),,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,,,med,main verb 来る 'come' — lexical; てくる aspect = kuru-2,collision,B,""" come """
mono ka¹,mono-ka,〜ものか,ものか,(emphatic rhetorical) there's no way ~!; absolutely not (行くものか),,casual-spoken,none,uncommon,N2,modality,,,high,emphatic 〜ものか 'definitely not' — resolves the mono ka² ambiguity (² may be dup/variant),collision,A,""" definitely not """
ni³,ni-4,に,に,particle に marking the agent/source (passive/causative: 先生に叱られる),,casual-spoken|polite-spoken|written-modern,none,common,N5,particle,rareru-2,,high,,collision,B,[ agent/source marker ]
ni¹,ni-5,に,に,particle に marking a specific point in time (3時に、月曜日に),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ point of time ]
o³,o-3,を,を,"particle を marking the point of departure/separation (家を出る, 大学を卒業する)",,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,,,high,,collision,B,[ a point of detachment ]
yaru¹,yaru-3,やる,やる,"to do (casual = する); to give (to inferior/animal, casual)",,casual-spoken,none,common,N4,other,,,low,"no gloss; yaru¹ → main-verb やる 'do/give (casual)' — verify vs other やる homographs | recheck: no external (やる main verb = vocab); lexical, drop candidate per §2",collision,I,
(datta),datta,だった,だった,past-tense plain copula 'was / were',,casual-spoken|polite-spoken|written-modern,none,common,N5,copula,da,,low,odd see-also そうになる; best-guess past copula だった from bare '(datta)',,I,<-sō ni naru>
(de) sae,de-sae,でさえ,でさえ,even ~ (cites an extreme example to imply the rest),,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,high,,,A,<kara shite>
(de) sura,de-sura,ですら,ですら,"even ~ (emphatic, more formal/literary than でさえ)",,polite-spoken|written-modern|literary,none,uncommon,N2,particle,de-sae,,high,,,A,<kara shite>
(k) kiri,kiri,〜きり,きり,only ~ / just ~; (after past verb) ever since ~ (nothing further happened),,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,med,きり has limiting 'only' and temporal 'ever since' senses; '(k)' = gemination っきり variant,,A,
(nado) to wa,nado-to-wa,などとは,などとは,(quoting) something like ~; the very idea of ~ (often dismissive or surprised),,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,quotation,,,med,なんて-family dismissive quotation; reconstructed from see-also nante,,A,<nante '>
(ni shita) tokoro de,ni-shita-tokoro-de,にしたところで,にしたところで,even in the case of ~ / even ~ (concessive; it won't change the outcome),,polite-spoken|written-modern,none,rare,N1,connective,tokoro-da,,med,"missing_only, no vol/gloss; reconstructed にしたところで concessive",missing_only,,
(no) da kara,no-da-kara,のだから,のだから,because ~ (giving a reason the speaker treats as established/obvious),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,no-da,,high,,,A,<to atte wa>
