slug,unit_index,unit_label,order
de-yokereba,22,Linking ideas I,9
ba-noni,22,Linking ideas I,10
ba-hodo,22,Linking ideas I,11
ikura-temo,22,Linking ideas I,12
tatte,22,Linking ideas I,13
dekireba,22,Linking ideas I,14
moshimo-tara,22,Linking ideas I,15
moshimo-nara,22,Linking ideas I,16
okage-de,22,Linking ideas I,17
ka-nai-ka,22,Linking ideas I,18
kara-da,22,Linking ideas I,19
kara-iu-to,22,Linking ideas I,20
zu-ni,22,Linking ideas I,21
sei-de,22,Linking ideas I,22
ta-totan,22,Linking ideas I,23
dake-de-wa-naku,22,Linking ideas I,24
dake-de-wa-naku-2,22,Linking ideas I,25
dake-demo,22,Linking ideas I,26
te-wa-ikenai-kara,22,Linking ideas I,27
temo-nakutemo,22,Linking ideas I,28
dewa-nakute,22,Linking ideas I,29
de-iu-to,23,Linking ideas II,1
to-iu-riyuu-de,23,Linking ideas II,2
to-onaji-de,23,Linking ideas II,3
to-ittemo,23,Linking ideas II,4
nai-uchi-ni,23,Linking ideas II,5
naku,23,Linking ideas II,6
ni-awasete,23,Linking ideas II,7
ni-ataru,23,Linking ideas II,8
ni-kurabete,23,Linking ideas II,9
noni-2,23,Linking ideas II,10
no-aida-ni,23,Linking ideas II,11
wa-iu-made-mo-nai,23,Linking ideas II,12
bakari-de,23,Linking ideas II,13
bakari-de-wa-naku,23,Linking ideas II,14
bakari-de-wa-naku-2,23,Linking ideas II,15
bakari-de-wa-naku-3,23,Linking ideas II,16
bakari-de-wa-naku-4,23,Linking ideas II,17
hodo-nai,23,Linking ideas II,18
mo-ba-mo,23,Linking ideas II,19
o-komete,23,Linking ideas II,20
kawari-ni,23,Linking ideas II,21
saichuu-ni,23,Linking ideas II,22
tochuu-de,23,Linking ideas II,23
ato,23,Linking ideas II,24
ikura-demo,23,Linking ideas II,25
okage,23,Linking ideas II,26
kuse-ni,23,Linking ideas II,27
koto-kara,23,Linking ideas II,28
koto-de,23,Linking ideas II,29
koto-ni-yori-yotte,24,Linking ideas III,1
koto-wa,24,Linking ideas III,2
sate,24,Linking ideas III,3
suru-to,24,Linking ideas III,4
sei,24,Linking ideas III,5
sou-suru-to,24,Linking ideas III,6
so-desu-ga,24,Linking ideas III,7
soko-de,24,Linking ideas III,8
sono-tame,24,Linking ideas III,9
sono-tame-ni,24,Linking ideas III,10
sono-kekka,24,Linking ideas III,11
sore-to,24,Linking ideas III,12
soretomo,24,Linking ideas III,13
sore-ni,24,Linking ideas III,14
tada,24,Linking ideas III,15
tatoe-temo,24,Linking ideas III,16
tame-da,24,Linking ideas III,17
tara-sugu,24,Linking ideas III,18
tara-sugu-2,24,Linking ideas III,19
daga,24,Linking ideas III,20
datte,24,Linking ideas III,21
tsuide-ni,24,Linking ideas III,22
tsumari,24,Linking ideas III,23
to-iu-to,24,Linking ideas III,24
to-iu-no-wa,24,Linking ideas III,25
to-iu-fu-ni,24,Linking ideas III,26
to-iu-yori,24,Linking ideas III,27
to-ieba,24,Linking ideas III,28
toki-ni-wa,24,Linking ideas III,29
tokoro-ga,25,Linking ideas IV,1
tokoro-de,25,Linking ideas IV,2
to-sugu-ni,25,Linking ideas IV,3
to-suru-to,25,Linking ideas IV,4
to-onaji-kurai,25,Linking ideas IV,5
donna-ni-temo,25,Linking ideas IV,6
nagara-mo,25,Linking ideas IV,7
nashi-de,25,Linking ideas IV,8
nazenara,25,Linking ideas IV,9
naze-nara-ba-kara-da,25,Linking ideas IV,10
ni-shite-wa,25,Linking ideas IV,11
ni-shite-mo,25,Linking ideas IV,12
ni-tsurete,25,Linking ideas IV,13
ni-naru-to,25,Linking ideas IV,14
ni-yoru-to,25,Linking ideas IV,15
ni-yoreba,25,Linking ideas IV,16
ni-taishite-2,25,Linking ideas IV,17
ni-kuraberu-to,25,Linking ideas IV,18
ni-kanshite-2,25,Linking ideas IV,19
no-da-kara,25,Linking ideas IV,20
no-kawari-ni,25,Linking ideas IV,21
mata-wa,25,Linking ideas IV,22
o-hajime-to-shite,25,Linking ideas IV,23
tatoeba,25,Linking ideas IV,24
wari-ni-wa,25,Linking ideas IV,25
tabi-ni,25,Linking ideas IV,26
tashika-ni-ga,25,Linking ideas IV,27
totan-ni,25,Linking ideas IV,28
zurai,26,"Intention, judgment & interaction I",1
te-goran,26,"Intention, judgment & interaction I",2
agaru-ageru,26,"Intention, judgment & interaction I",3
kiru,26,"Intention, judgment & interaction I",4
kirenai,26,"Intention, judgment & interaction I",5
au,26,"Intention, judgment & interaction I",6
teki,26,"Intention, judgment & interaction I",7
naosu,26,"Intention, judgment & interaction I",8
komu,26,"Intention, judgment & interaction I",9
toosu,26,"Intention, judgment & interaction I",10
te-yaru,26,"Intention, judgment & interaction I",11
koto-da,26,"Intention, judgment & interaction I",12
sou-ni-nai,26,"Intention, judgment & interaction I",13
ta-mono-da,26,"Intention, judgment & interaction I",14
dake-da,26,"Intention, judgment & interaction I",15
tsumori-datta,26,"Intention, judgment & interaction I",16
tsumori-de,26,"Intention, judgment & interaction I",17
teiru-baai-janai,26,"Intention, judgment & interaction I",18
temo-kamawanai,26,"Intention, judgment & interaction I",19
temo-hajimaranai,26,"Intention, judgment & interaction I",20
te-sumu,26,"Intention, judgment & interaction I",21
to-suru,26,"Intention, judgment & interaction I",22
to-mieru,26,"Intention, judgment & interaction I",23
to-ieru,26,"Intention, judgment & interaction I",24
na-prohibitive,26,"Intention, judgment & interaction I",25
nai-koto-wa-nai,26,"Intention, judgment & interaction I",26
ni-kagiru,26,"Intention, judgment & interaction I",27
no-deshou-ka,26,"Intention, judgment & interaction I",28
ba-ii,26,"Intention, judgment & interaction I",29
furi-o-suru,26,"Intention, judgment & interaction I",30
beki-da,26,"Intention, judgment & interaction I",31
beki-de-wa-nai,26,"Intention, judgment & interaction I",32
you-to-shinai,26,"Intention, judgment & interaction I",33
you-na-ki-ga-suru,27,"Intention, judgment & interaction II",1
wake-ga-nai,27,"Intention, judgment & interaction II",2
kanousei-ga-aru,27,"Intention, judgment & interaction II",3
hitsuyo-wa-nai,27,"Intention, judgment & interaction II",4
gatai,27,"Intention, judgment & interaction II",5
koto-ni-natte-iru,27,"Intention, judgment & interaction II",6
koto-wa-nai,27,"Intention, judgment & interaction II",7
shika-nai,27,"Intention, judgment & interaction II",8
sou-ni-naru,27,"Intention, judgment & interaction II",9
tamaranai,27,"Intention, judgment & interaction II",10
tara-ii-ka,27,"Intention, judgment & interaction II",11
darou-ka,27,"Intention, judgment & interaction II",12
te-shikata-ga-nai,27,"Intention, judgment & interaction II",13
te-tamaranai,27,"Intention, judgment & interaction II",14
to-wa-kagiranai,27,"Intention, judgment & interaction II",15
nai-youni-shite-kudasai,27,"Intention, judgment & interaction II",16
naranai,27,"Intention, judgment & interaction II",17
nante-2,27,"Intention, judgment & interaction II",18
ni-chigainai,27,"Intention, judgment & interaction II",19
marude-you-da,27,"Intention, judgment & interaction II",20
mono-da,27,"Intention, judgment & interaction II",21
wake-da,27,"Intention, judgment & interaction II",22
wake-de-wa-nai,27,"Intention, judgment & interaction II",23
wake-ni-wa-ikanai,27,"Intention, judgment & interaction II",24
shikata-ga-nai,27,"Intention, judgment & interaction II",25
atarimae-da,27,"Intention, judgment & interaction II",26
kangaerarenai,27,"Intention, judgment & interaction II",27
to-iu-koto-da,27,"Intention, judgment & interaction II",28
youni-iu,27,"Intention, judgment & interaction II",29
ndatte,27,"Intention, judgment & interaction II",30
o-suru,27,"Intention, judgment & interaction II",31
saa,27,"Intention, judgment & interaction II",32
naruhodo,27,"Intention, judgment & interaction II",33
zettai-ni,28,"Time, degree & adverbial nuance I",1
goto-ni,28,"Time, degree & adverbial nuance I",2
buri-ni,28,"Time, degree & adverbial nuance I",3
gimi,28,"Time, degree & adverbial nuance I",4
amari-ni-mo,28,"Time, degree & adverbial nuance I",5
oki-ni,28,"Time, degree & adverbial nuance I",6
kanari,28,"Time, degree & adverbial nuance I",7
sappari,28,"Time, degree & adverbial nuance I",8
shibaraku,28,"Time, degree & adverbial nuance I",9
seizei,28,"Time, degree & adverbial nuance I",10
sekkaku,28,"Time, degree & adverbial nuance I",11
semete,28,"Time, degree & adverbial nuance I",12
sorezore,28,"Time, degree & adverbial nuance I",13
sore-dake,28,"Time, degree & adverbial nuance I",14
tatta,28,"Time, degree & adverbial nuance I",15
tama-ni-wa,28,"Time, degree & adverbial nuance I",16
daitai,28,"Time, degree & adverbial nuance I",17
chittomo,28,"Time, degree & adverbial nuance I",18
chanto,28,"Time, degree & adverbial nuance I",19
ppoi,28,"Time, degree & adverbial nuance I",20
tsui,28,"Time, degree & adverbial nuance I",21
toutou,28,"Time, degree & adverbial nuance I",22
totemo-nai,28,"Time, degree & adverbial nuance I",23
tonikaku,28,"Time, degree & adverbial nuance I",24
dou-ka,28,"Time, degree & adverbial nuance I",25
doushitemo,28,"Time, degree & adverbial nuance I",26
donnani,28,"Time, degree & adverbial nuance I",27
nakanaka,28,"Time, degree & adverbial nuance I",28
naze-ka,28,"Time, degree & adverbial nuance I",29
nanto,28,"Time, degree & adverbial nuance I",30
nan-to-ka,29,"Time, degree & adverbial nuance II",1
hotondo-nai,29,"Time, degree & adverbial nuance II",2
masaka,29,"Time, degree & adverbial nuance II",3
marude,29,"Time, degree & adverbial nuance II",4
mushiro,29,"Time, degree & adverbial nuance II",5
metta-ni,29,"Time, degree & adverbial nuance II",6
moshika-shitara,29,"Time, degree & adverbial nuance II",7
motomoto-no,29,"Time, degree & adverbial nuance II",8
yatto,29,"Time, degree & adverbial nuance II",9
yappari,29,"Time, degree & adverbial nuance II",10
yahari,29,"Time, degree & adverbial nuance II",11
yahari-yappari,29,"Time, degree & adverbial nuance II",12
wazawaza,29,"Time, degree & adverbial nuance II",13
ichido-ni,29,"Time, degree & adverbial nuance II",14
ippanni,29,"Time, degree & adverbial nuance II",15
mattaku,29,"Time, degree & adverbial nuance II",16
mattaku-nai,29,"Time, degree & adverbial nuance II",17
futatabi,29,"Time, degree & adverbial nuance II",18
betsu-ni-nai,29,"Time, degree & adverbial nuance II",19
sukoshi-mo,29,"Time, degree & adverbial nuance II",20
sukoshi-mo-nai,29,"Time, degree & adverbial nuance II",21
